federal_account_code,account_title,short_account_title,agency_identifier,main_account_code,managing_agency,managing_agency_acronym,parent_agency_toptier_code,bureau_name,bureau_slug,account_id,budgetary_resources_fy2026
012-1119,"Management of National Forest Lands for Subsistence Uses, Forest Service, Agriculture","Management of National Forest Lands for Subsistence Uses, Forest Service, Agriculture",012,1119,Department of Agriculture,USDA,012,Forest Service,forest-service,3475,1410689.79
012-1120,"Flame Wildfire Suppression Reserve Fund, Forest Service, Agriculture","Flame Wildfire Suppression Reserve Fund, Forest Service, Agriculture",012,1120,Department of Agriculture,USDA,012,Forest Service,forest-service,3476,
012-1121,"Wildfire Suppression Operations Reserve Fund, Forest Service, Agriculture","Wildfire Suppression Operations Reserve Fund, Forest Service, Agriculture",012,1121,Department of Agriculture,USDA,012,Forest Service,forest-service,6321,2978480000.0
012-1122,"Forest Service Operations, Forest Service, Agriculture","Forest Service Operations, Forest Service, Agriculture",012,1122,Department of Agriculture,USDA,012,Forest Service,forest-service,6347,1615917403.42
012-1124,"Assistance for Farmers and Ranchers Account, Farm Service Agency, Agriculture","Assistance for Farmers and Ranchers Account, Farm Service Agency, Agriculture",012,1124,Department of Agriculture,USDA,012,Farm Service Agency,farm-service-agency,6477,311205101.82
012-1140,"Agricultural Credit Insurance Fund Program Account,  Farm Service Agency, Agriculture","Agricultural Credit Insurance Fund Program Account,  Farm Service Agency, Agriculture",012,1140,Department of Agriculture,USDA,012,Farm Service Agency,farm-service-agency,3477,602436756.77
012-1143,"Repayable Advances to Agricultural Disaster Relief Fund, Farm Service Agency, Agriculture","Repayable Advances to Agricultural Disaster Relief Fund, Farm Service Agency, Agriculture",012,1143,Department of Agriculture,USDA,012,Farm Service Agency,farm-service-agency,3479,
012-1144,"Discrimination Claims Settlement, Farm Service Agency, Agriculture","Discrimination Claims Settlement, Farm Service Agency, Agriculture",012,1144,Department of Agriculture,USDA,012,Farm Service Agency,farm-service-agency,3480,
012-1230,"Rural Electrification and Telecommunications Loans Program Account, Rural Utilities Service, Agriculture","Rural Electrification and Telecommunications Loans Program Account, Rural Utilities Service, Agriculture",012,1230,Department of Agriculture,USDA,012,Rural Utilities Service,rural-utilities-service,3481,1075167917.26
012-1231,"Rural Telephone Bank Program Account, Rural Utilities Service, Agriculture","Rural Telephone Bank Program Account, Rural Utilities Service, Agriculture",012,1231,Department of Agriculture,USDA,012,Rural Utilities Service,rural-utilities-service,3482,
012-1232,"Distance Learning, Telemedicine and Broadband Program, Rural Utilities Service, Agriculture","Distance Learning, Telemedicine and Broadband Program, Rural Utilities Service, Agriculture",012,1232,Department of Agriculture,USDA,012,Rural Utilities Service,rural-utilities-service,3483,1485663189.08
012-1336,"Commodity Credit Corporation Export Loans Program Account, Foreign Agricultural Service, Agriculture","Commodity Credit Corporation Export Loans Program Account, Foreign Agricultural Service, Agriculture",012,1336,Department of Agriculture,USDA,012,Farm Service Agency,farm-service-agency,3485,14473302.55
012-1400,"Salaries and Expenses, Agricultural Research Service, Agriculture","Salaries and Expenses, Agricultural Research Service, Agriculture",012,1400,Department of Agriculture,USDA,012,Agricultural Research Service,agricultural-research-service,3486,2342426227.7
012-1401,"Buildings and Facilities, Agricultural Research Service, Agriculture","Buildings and Facilities, Agricultural Research Service, Agriculture",012,1401,Department of Agriculture,USDA,012,Agricultural Research Service,agricultural-research-service,3487,189039844.59
012-1404,"Scientific Activities Overseas, Foreign Currency Program, Foreign Agricultural Service, Agriculture","Scientific Activities Overseas, Foreign Currency Program, Foreign Agricultural Service, Agriculture",012,1404,Department of Agriculture,USDA,012,Foreign Agricultural Service,foreign-agricultural-service,3489,
012-1500,"Research and Education Activities, National Institute of Food and Agriculture, Agriculture","Research and Education Activities, National Institute of Food and Agriculture, Agriculture",012,1500,Department of Agriculture,USDA,012,National Institute of Food and Agriculture,national-institute-of-food-and-agriculture,3492,1902780220.39
012-1501,"Buildings and Facilities, National Institute of Food and Agriculture, Agriculture","Buildings and Facilities, National Institute of Food and Agriculture, Agriculture",012,1501,Department of Agriculture,USDA,012,National Institute of Food and Agriculture,national-institute-of-food-and-agriculture,3493,
012-1502,"Integrated Activities, National Institute of Food and Agriculture, Agriculture","Integrated Activities, National Institute of Food and Agriculture, Agriculture",012,1502,Department of Agriculture,USDA,012,National Institute of Food and Agriculture,national-institute-of-food-and-agriculture,3494,393316907.6
012-1600,"Salaries and Expenses, Animal and Plant Health Inspection Service, Agriculture","Salaries and Expenses, Animal and Plant Health Inspection Service, Agriculture",012,1600,Department of Agriculture,USDA,012,Animal and Plant Health Inspection Service,animal-and-plant-health-inspection-service,3495,4706982809.97
012-1601,"Buildings and Facilities, Animal and Plant Health Inspection Service, Agriculture","Buildings and Facilities, Animal and Plant Health Inspection Service, Agriculture",012,1601,Department of Agriculture,USDA,012,Animal and Plant Health Inspection Service,animal-and-plant-health-inspection-service,3496,27312103.8
012-1701,"Economic Research Service, Agriculture","Economic Research Service, Agriculture",012,1701,Department of Agriculture,USDA,012,Economic Research Service,economic-research-service,3497,112600885.84
012-1801,"National Agricultural Statistics Service, Agriculture","National Agricultural Statistics Service, Agriculture",012,1801,Department of Agriculture,USDA,012,National Agricultural Statistics Service,national-agricultural-statistics-service,3498,245732118.2
012-1900,"Rural Cooperative Development Grants, Rural Business-Cooperative Service, Agriculture","Rural Cooperative Development Grants, Rural Business-Cooperative Service, Agriculture",012,1900,Department of Agriculture,USDA,012,Rural Business-Cooperative Service,rural-business-cooperative-service,3500,59771459.71
012-1902,"Rural Business Program Account, Rural Business-Cooperative Service, Agriculture","Rural Business Program Account, Rural Business-Cooperative Service, Agriculture",012,1902,Department of Agriculture,USDA,012,Rural Business-Cooperative Service,rural-business-cooperative-service,3501,76193264.48
012-1907,"Rural Business Investment Program Account, Rural Business - Cooperative Service, Agriculture","Rural Business Investment Program Account, Rural Business - Cooperative Service, Agriculture",012,1907,Department of Agriculture,USDA,012,Rural Business-Cooperative Service,rural-business-cooperative-service,3502,1629175.0
012-1908,"Rural Energy for America Program, Rural Business-Cooperative Service, Agriculture","Rural Energy for America Program, Rural Business-Cooperative Service, Agriculture",012,1908,Department of Agriculture,USDA,012,Rural Business-Cooperative Service,rural-business-cooperative-service,3503,462058483.9
012-1951,"Rural Community Facilities Program Account, Rural Housing Service, Agriculture","Rural Community Facilities Program Account, Rural Housing Service, Agriculture",012,1951,Department of Agriculture,USDA,012,Rural Housing Service,rural-housing-service,3505,1104338678.51
012-1953,"Expenses, Rural Housing Assistance Grants, Rural Housing Service, Agriculture","Expenses, Rural Housing Assistance Grants, Rural Housing Service, Agriculture",012,1953,Department of Agriculture,USDA,012,Rural Housing Service,rural-housing-service,3506,113715008.65
012-1955,"Rural Microentrepreneur Assistance Program, Rural Business-Cooperative Service, Agriculture","Rural Microentrepreneur Assistance Program, Rural Business-Cooperative Service, Agriculture",012,1955,Department of Agriculture,USDA,012,Rural Business-Cooperative Service,rural-business-cooperative-service,3508,8167553.77
012-1980,"Rural Water and Waste Disposal Program Account, Rural Utilities Service, Agriculture","Rural Water and Waste Disposal Program Account, Rural Utilities Service, Agriculture",012,1980,Department of Agriculture,USDA,012,Rural Utilities Service,rural-utilities-service,3510,798396423.83
